Date,Open,High,Low,Close,Adj Close,Volume
2023-05-18,760.080017,766.140015,759.820007,765.280029,765.280029,53900
2023-05-19,767.919983,771.739990,767.099976,767.099976,767.099976,73800
2023-05-22,766.809998,768.590027,765.330017,767.609985,767.609985,52800
2023-05-23,766.539978,769.000000,765.510010,765.979980,765.979980,57600
2023-05-24,760.039978,760.500000,750.219971,754.130005,754.130005,66200
2023-05-25,758.440002,759.340027,753.580017,755.210022,755.210022,63700
2023-05-26,758.750000,770.390015,756.739990,767.859985,767.859985,60300
2023-05-29,769.020020,769.520020,763.659973,764.099976,764.099976,26500
2023-05-30,765.289978,765.950012,755.380005,756.669983,756.669983,62700
2023-05-31,750.140015,756.030029,748.450012,748.859985,748.859985,161000
2023-06-01,754.409973,758.020020,752.549988,756.349976,756.349976,48000
2023-06-02,759.429993,765.820007,758.140015,764.919983,764.919983,71200
2023-06-05,767.409973,768.419983,763.200012,763.340027,763.340027,52800
2023-06-06,759.770020,762.650024,757.080017,762.219971,762.219971,60500
2023-06-07,761.679993,763.650024,759.409973,761.609985,761.609985,61100
2023-06-08,758.119995,761.119995,757.320007,760.940002,760.940002,58200
2023-06-09,763.340027,763.340027,755.929993,759.320007,759.320007,48197600
2023-06-12,761.349976,764.090027,759.880005,760.340027,760.340027,53470100
2023-06-13,766.150024,768.849976,761.909973,767.710022,767.710022,59400
2023-06-14,766.979980,773.000000,765.960022,771.409973,771.409973,63200
2023-06-15,770.820007,774.380005,767.330017,772.640015,772.640015,59800
2023-06-16,774.880005,776.289978,772.369995,772.719971,772.719971,116886300
2023-06-19,770.859985,772.450012,768.239990,768.979980,768.979980,43400
2023-06-20,765.380005,767.400024,762.520020,763.090027,763.090027,44700
2023-06-21,761.429993,763.349976,758.210022,759.159973,759.159973,44300
2023-06-22,752.609985,759.169983,750.739990,759.169983,759.169983,50300
2023-06-23,756.659973,759.190002,753.780029,756.599976,756.599976,60500
2023-06-26,757.150024,759.750000,751.429993,757.500000,757.500000,52400
2023-06-27,761.770020,763.109985,755.479980,760.559998,760.559998,51300
2023-06-28,762.830017,768.679993,762.299988,767.770020,767.770020,47700
2023-06-29,767.989990,770.250000,766.530029,768.940002,768.940002,45200
2023-06-30,767.380005,775.960022,765.719971,773.940002,773.940002,67200
2023-07-03,777.099976,781.109985,776.440002,776.440002,776.440002,51300
2023-07-04,777.890015,780.809998,777.450012,778.719971,778.719971,39700
2023-07-05,773.460022,775.450012,768.919983,769.890015,769.890015,51900
2023-07-06,764.969971,765.099976,751.590027,753.340027,753.340027,65900
2023-07-07,752.919983,756.669983,747.659973,753.520020,753.520020,50700
2023-07-10,749.599976,757.599976,749.599976,755.760010,755.760010,40400
2023-07-11,757.250000,758.969971,753.289978,755.820007,755.820007,48100
2023-07-12,759.979980,770.609985,759.130005,768.140015,768.140015,62700
2023-07-13,768.500000,777.119995,768.500000,774.799988,774.799988,48700
2023-07-14,775.530029,781.489990,775.530029,778.929993,778.929993,51400
2023-07-17,773.580017,777.739990,771.859985,773.450012,773.450012,38600
2023-07-18,770.919983,775.669983,770.919983,774.479980,774.479980,43400
2023-07-19,777.929993,779.190002,774.450012,775.030029,775.030029,50400
2023-07-20,769.739990,772.669983,768.210022,769.619995,769.619995,55500
2023-07-21,768.130005,773.840027,768.030029,773.750000,773.750000,50700
2023-07-24,771.409973,773.789978,769.210022,771.549988,771.549988,57300
2023-07-25,777.739990,781.130005,775.659973,779.809998,779.809998,61000
2023-07-26,777.940002,777.940002,770.530029,775.460022,775.460022,55000
2023-07-27,779.020020,793.070007,779.020020,792.059998,792.059998,66800
2023-07-28,788.539978,795.200012,787.979980,794.270020,794.270020,57818400
2023-07-31,792.479980,794.409973,789.520020,792.000000,792.000000,52552100
2023-08-01,790.169983,792.130005,784.669983,786.140015,786.140015,46279800
2023-08-02,777.000000,782.479980,772.969971,775.030029,775.030029,63389800
2023-08-03,770.250000,771.429993,764.090027,770.070007,770.070007,67862100
2023-08-04,770.940002,773.359985,766.400024,772.710022,772.710022,58633700
2023-08-07,769.479980,772.909973,768.020020,772.130005,772.130005,46049100
2023-08-08,768.770020,772.299988,763.109985,767.000000,767.000000,55520400
2023-08-09,772.469971,774.969971,769.080017,770.219971,770.219971,57600
2023-08-10,772.869995,780.659973,772.570007,777.789978,777.789978,60200
2023-08-11,773.619995,773.940002,763.359985,765.159973,765.159973,53100
2023-08-14,764.010010,766.830017,761.070007,766.210022,766.210022,49700
2023-08-15,768.559998,768.559998,756.700012,759.280029,759.280029,49500
2023-08-16,756.770020,759.460022,754.039978,756.849976,756.849976,49400
2023-08-17,755.820007,757.989990,737.359985,737.630005,737.630005,67400
2023-08-18,735.909973,736.650024,729.609985,735.039978,735.039978,61900
2023-08-21,735.690002,735.690002,733.590027,733.590027,733.590027,50400
2023-08-22,738.219971,743.840027,736.830017,738.210022,738.210022,45200
2023-08-23,739.849976,742.989990,737.359985,740.729980,740.729980,46200
2023-08-24,748.179993,749.210022,733.340027,733.989990,733.989990,46200
2023-08-25,732.000000,739.159973,731.960022,733.369995,733.369995,48800
2023-08-28,739.340027,743.229980,737.510010,741.760010,741.760010,41300
2023-08-29,743.739990,746.640015,741.969971,745.890015,745.890015,59100
2023-08-30,746.039978,748.200012,742.330017,745.429993,745.429993,51300
2023-08-31,746.650024,749.979980,743.619995,743.619995,743.619995,105511900
2023-09-01,744.539978,749.890015,743.880005,746.049988,746.049988,49700
2023-09-04,750.479980,754.760010,746.820007,747.429993,747.429993,31267300
2023-09-05,744.250000,748.770020,740.630005,747.109985,747.109985,46500
2023-09-06,743.500000,748.599976,741.099976,745.429993,745.429993,48300
2023-09-07,741.900024,744.349976,737.929993,739.710022,739.710022,47900
2023-09-08,741.979980,742.169983,732.750000,739.090027,739.090027,46000
2023-09-11,741.419983,744.849976,738.479980,738.890015,738.890015,44500
2023-09-12,741.340027,741.679993,734.619995,736.690002,736.690002,49700
2023-09-13,733.659973,736.289978,731.150024,734.929993,734.929993,44900
2023-09-14,737.260010,745.789978,734.640015,744.460022,744.460022,69200
2023-09-15,748.450012,749.270020,741.099976,741.510010,741.510010,117900
2023-09-18,740.679993,741.039978,734.650024,735.849976,735.849976,49700
2023-09-19,734.590027,739.450012,732.960022,734.929993,734.929993,45000
2023-09-20,735.500000,740.739990,734.530029,738.320007,738.320007,52357300
2023-09-21,733.119995,734.429993,728.820007,731.719971,731.719971,58998400
2023-09-22,728.729980,732.229980,726.659973,730.090027,730.090027,87723300
2023-09-25,728.390015,730.570007,721.250000,726.640015,726.640015,51660500
2023-09-26,720.799988,724.140015,718.900024,721.429993,721.429993,50200
2023-09-27,723.809998,726.270020,719.659973,721.739990,721.739990,75000
2023-09-28,720.650024,726.020020,715.619995,725.989990,725.989990,63000
2023-09-29,729.809998,736.200012,728.789978,728.789978,728.789978,64300
2023-10-02,730.650024,731.909973,721.289978,724.179993,724.179993,43000
2023-10-03,721.570007,726.179993,719.169983,719.669983,719.669983,49600
2023-10-04,715.559998,725.400024,715.320007,720.859985,720.859985,57100
2023-10-05,722.809998,726.059998,720.950012,721.750000,721.750000,47800
2023-10-06,721.599976,726.890015,718.760010,726.700012,726.700012,65100
2023-10-09,726.859985,730.900024,724.159973,726.000000,726.000000,48700
2023-10-10,731.510010,739.969971,731.380005,738.890015,738.890015,62300
2023-10-11,736.739990,741.799988,736.679993,737.780029,737.780029,51600
2023-10-12,742.190002,744.929993,740.169983,741.520020,741.520020,49800
2023-10-13,738.820007,743.000000,733.080017,733.900024,733.900024,54300
2023-10-16,736.809998,737.559998,731.500000,735.390015,735.390015,44000
2023-10-17,733.450012,738.429993,730.500000,736.770020,736.770020,43800
2023-10-18,732.640015,737.780029,728.200012,729.570007,729.570007,47900
2023-10-19,728.340027,730.849976,725.119995,727.609985,727.609985,49500
2023-10-20,721.919983,724.559998,716.239990,716.239990,716.239990,73900
2023-10-23,716.450012,719.750000,711.690002,719.179993,719.179993,49200
2023-10-24,718.929993,723.530029,715.770020,721.729980,721.729980,47800
2023-10-25,721.960022,724.260010,718.950012,722.239990,722.239990,55600
2023-10-26,715.179993,722.159973,713.780029,719.299988,719.299988,55200
2023-10-27,719.280029,723.429993,713.280029,714.250000,714.250000,51300
2023-10-30,717.400024,719.710022,712.770020,714.049988,714.049988,41326400
2023-10-31,713.840027,721.500000,713.739990,718.599976,718.599976,55512700
2023-11-01,720.440002,725.289978,716.489990,722.229980,722.229980,47392300
2023-11-02,728.450012,738.359985,728.179993,736.030029,736.030029,77199400
2023-11-03,739.070007,739.549988,735.070007,736.309998,736.309998,61631200
2023-11-06,738.299988,739.169983,734.969971,735.340027,735.340027,45800
2023-11-07,733.849976,737.219971,733.109985,735.739990,735.739990,48400
2023-11-08,730.729980,737.289978,729.940002,734.640015,734.640015,78000
2023-11-09,732.789978,749.830017,730.099976,749.159973,749.159973,64100
2023-11-10,745.679993,748.260010,742.450012,746.309998,746.309998,45400
2023-11-13,750.219971,753.820007,748.909973,753.409973,753.409973,54100
2023-11-14,754.200012,761.010010,751.549988,758.150024,758.150024,64700
2023-11-15,759.869995,764.349976,759.869995,762.820007,762.820007,61400
2023-11-16,758.669983,760.820007,753.849976,753.909973,753.909973,69000
2023-11-17,752.809998,759.299988,752.809998,758.590027,758.590027,74400
2023-11-20,757.890015,760.059998,757.539978,759.469971,759.469971,42500
2023-11-21,758.659973,760.169983,757.119995,758.559998,758.559998,43500
2023-11-22,759.140015,761.119995,758.190002,760.039978,760.039978,47229700
2023-11-23,760.909973,762.440002,759.280029,762.320007,762.320007,40650200
2023-11-24,761.409973,766.340027,761.380005,765.659973,765.659973,34100
2023-11-27,764.659973,766.739990,763.700012,764.219971,764.219971,39400
2023-11-28,761.500000,762.140015,758.969971,761.369995,761.369995,43700
2023-11-29,759.359985,764.309998,759.030029,761.989990,761.989990,52700
2023-11-30,764.520020,768.030029,761.710022,765.039978,765.039978,176400
2023-12-01,767.450012,772.340027,767.440002,771.369995,771.369995,53300
2023-12-04,770.299988,773.239990,769.539978,770.609985,770.609985,53000
2023-12-05,768.869995,775.250000,768.469971,774.070007,774.070007,56600
2023-12-06,776.099976,779.030029,775.530029,776.179993,776.179993,67500
2023-12-07,774.840027,777.169983,773.989990,776.340027,776.340027,49500
2023-12-08,777.690002,783.599976,776.739990,781.849976,781.849976,56800
2023-12-11,782.419983,787.070007,780.400024,786.450012,786.450012,54600
2023-12-12,785.849976,790.520020,785.229980,786.130005,786.130005,58400
2023-12-13,787.320007,791.070007,787.020020,787.020020,787.020020,55700
2023-12-14,793.390015,798.090027,786.239990,789.909973,789.909973,86000
2023-12-15,793.700012,796.119995,790.960022,793.130005,793.130005,142400
2023-12-18,790.190002,793.109985,787.729980,789.150024,789.150024,56100
2023-12-19,789.940002,793.369995,789.940002,792.479980,792.479980,54500
2023-12-20,793.570007,796.000000,790.030029,793.690002,793.690002,53200
2023-12-21,789.380005,791.299988,787.119995,789.880005,789.880005,43000
2023-12-22,789.150024,789.479980,782.609985,785.450012,785.450012,47600
2023-12-27,788.510010,789.320007,785.460022,786.840027,786.840027,41100
2023-12-28,789.390015,789.580017,786.039978,787.039978,787.039978,35434000
2023-12-29,787.789978,790.210022,785.960022,786.820007,786.820007,34600
2024-01-02,790.690002,792.489990,780.130005,783.109985,783.109985,47900
2024-01-03,782.489990,784.650024,776.099976,779.750000,779.750000,61200
2024-01-04,780.510010,781.049988,776.000000,780.309998,780.309998,58900
