Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
ISDB,4200,0,0.00,0,0.00,24.70,4200,0
IEDI,4170,0,0.00,0,0.00,46.28,4170,0
IBHD,4109,0,0.00,0,0.00,23.25,4109,0
IDUB,4023,0,0.00,0,0.00,20.11,3923,100
UAUG,4010,0,0.00,0,0.00,31.71,4010,0
NUMV,3960,0,0.00,0,0.00,32.21,3387,573
NUDM,3899,0,0.00,0,0.00,29.52,3899,0
BAPR,3869,0,0.00,0,0.00,38.53,3869,0
JEMA,3839,0,0.00,0,0.00,35.48,3839,0
DIHP,3827,0,0.00,0,0.00,25.66,3255,572
PBUS,3811,0,0.00,0,0.00,49.55,3800,11
GSUS,3704,0,0.00,0,0.00,67.99,3625,79
MSFX,3614,0,0.00,0,0.00,26.13,3614,0
FOCT,3599,0,0.00,0,0.00,39.96,3599,0
ISPY,3502,0,0.00,0,0.00,40.00,3502,0
FYLD,3495,0,0.00,0,0.00,26.35,3495,0
AAPX,3466,0,0.00,0,0.00,18.74,3466,0
NUEM,3412,0,0.00,0,0.00,26.60,3412,0
BUFG,3387,0,0.00,0,0.00,21.83,3387,0
IETC,3355,0,0.00,0,0.00,65.50,3273,82
HEGD,3303,0,0.00,0,0.00,19.99,3303,0
PNOV,3303,0,0.00,0,0.00,35.21,3303,0
PJAN,3257,0,0.00,0,0.00,38.20,3257,0
YMAR,3223,0,0.00,0,0.00,22.56,3123,100
RSST,3213,0,0.00,0,0.00,22.48,3213,0
JPLD,3173,0,0.00,0,0.00,50.64,3173,0
PRNT,3162,0,0.00,0,0.00,20.83,3162,0
SMB,3061,0,0.00,0,0.00,16.97,3061,0
IMFL,3058,0,0.00,0,0.00,24.59,3058,0
OUSA,3035,0,0.00,0,0.00,46.89,2949,86
HYBL,2937,0,0.00,0,0.00,28.07,2774,163
SMOT,2935,0,0.00,0,0.00,31.39,2501,434
QLC,2913,0,0.00,0,0.00,55.69,2913,0
BBIN,2894,0,0.00,0,0.00,57.37,2894,0
CSM,2873,0,0.00,0,0.00,57.09,2773,100
OILK,2855,0,0.00,0,0.00,47.97,2855,0
FFSM,2854,0,0.00,0,0.00,24.33,2460,394
DDWM,2770,0,0.00,0,0.00,33.33,2770,0
IBMO,2739,0,0.00,0,0.00,25.23,2739,0
BBRE,2729,0,0.00,0,0.00,81.55,2650,79
NURE,2531,0,0.00,0,0.00,29.17,2531,0
FRDM,2505,0,0.00,0,0.00,32.03,2505,0
DDEC,2502,0,0.00,0,0.00,36.58,2502,0
REGL,2491,0,0.00,0,0.00,75.37,2491,0
FCLD,2465,0,0.00,0,0.00,22.86,2465,0
PAUG,2461,0,0.00,0,0.00,34.40,2461,0
IGLD,2452,0,0.00,0,0.00,20.23,2152,300
RSSB,2410,0,0.00,0,0.00,20.70,2410,0
ADFI,2400,0,0.00,0,0.00,8.37,2400,0
GHTA,2391,0,0.00,0,0.00,26.78,2391,0
TDV,2343,0,0.00,0,0.00,67.33,2343,0
NAPR,2285,0,0.00,0,0.00,43.80,2285,0
PFEB,2262,0,0.00,0,0.00,33.41,2262,0
XMPT,2256,0,0.00,0,0.00,20.83,2256,0
ZALT,2238,0,0.00,0,0.00,26.90,2238,0
POCT,2236,0,0.00,0,0.00,37.08,2036,200
GJAN,2223,0,0.00,0,0.00,35.14,2223,0
IBHF,2177,0,0.00,0,0.00,22.72,1777,400
FMAR,2147,0,0.00,0,0.00,37.90,2147,0
HCRB,2133,0,0.00,0,0.00,34.03,2133,0
BAMG,2125,0,0.00,0,0.00,28.30,125,2000
QVOY,2123,0,0.00,0,0.00,27.25,2123,0
FJUL,2121,0,0.00,0,0.00,43.09,2121,0
FDRV,2117,0,0.00,0,0.00,12.74,2117,0
ZECP,2111,0,0.00,0,0.00,26.81,1911,200
OGIG,2076,0,0.00,0,0.00,35.93,1876,200
XVV,2071,0,0.00,0,0.00,37.90,2071,0
DAUG,2067,0,0.00,0,0.00,36.44,2067,0
MVFD,2060,0,0.00,0,0.00,24.36,2060,0
PSEP,2058,0,0.00,0,0.00,35.76,2058,0
VTEC,2042,0,0.00,0,0.00,99.23,2042,0
JPIB,2036,0,0.00,0,0.00,46.87,2036,0
DUBS,2016,0,0.00,0,0.00,27.77,2016,0
QDTE,2005,0,0.00,0,0.00,44.09,2005,0
IBMP,2004,0,0.00,0,0.00,24.98,2004,0
ZIVB,1996,0,0.00,0,0.00,21.54,1996,0
MINN,1992,0,0.00,0,0.00,21.92,1992,0
GJUN,1976,0,0.00,0,0.00,32.83,1976,0
MEAR,1931,0,0.00,0,0.00,50.03,1931,0
XBAP,1925,0,0.00,0,0.00,30.23,1925,0
TMFG,1917,0,0.00,0,0.00,28.50,1917,0
APRD,1900,0,0.00,0,0.00,23.99,1900,0
EWUS,1900,0,0.00,0,0.00,33.34,1900,0
SHYD,1870,0,0.00,0,0.00,22.19,1870,0
DAPR,1849,0,0.00,0,0.00,33.43,1849,0
HYMU,1822,0,0.00,0,0.00,22.17,1822,0
VFVA,1801,0,0.00,0,0.00,112.39,1801,0
KOCT,1777,0,0.00,0,0.00,27.37,1777,0
XDTE,1768,0,0.00,0,0.00,50.04,1768,0
DSCF,1764,0,0.00,0,0.00,21.81,1764,0
EFUT,1764,0,0.00,0,0.00,25.23,1764,0
XSHQ,1760,0,0.00,0,0.00,39.06,1760,0
DUSA,1753,0,0.00,0,0.00,38.85,1753,0
VCEB,1741,0,0.00,0,0.00,60.95,1741,0
WFHY,1727,0,0.00,0,0.00,44.31,1727,0
IBHG,1680,0,0.00,0,0.00,21.84,1680,0
FDEC,1647,0,0.00,0,0.00,40.14,1647,0
GSEW,1630,0,0.00,0,0.00,68.73,1329,301
HYIN,1624,0,0.00,0,0.00,18.12,1624,0
IGRO,1547,0,0.00,0,0.00,64.61,1547,0
MSSS,1543,0,0.00,0,0.00,23.59,1543,0
PAWZ,1515,0,0.00,0,0.00,46.61,1515,0
BRLN,1471,0,0.00,0,0.00,52.26,1471,0
BUFB,1434,0,0.00,0,0.00,28.64,1434,0
JCPI,1423,0,0.00,0,0.00,46.10,1423,0
OMFS,1413,0,0.00,0,0.00,35.24,1413,0
AFIF,1391,0,0.00,0,0.00,9.03,1391,0
DWLD,1368,0,0.00,0,0.00,31.54,1368,0
SUPP,1334,0,0.00,0,0.00,61.44,1334,0
NETZ,1328,0,0.00,0,0.00,66.08,1328,0
FFEB,1327,0,0.00,0,0.00,43.82,1327,0
RTAI,1320,0,0.00,0,0.00,20.30,1320,0
RSBT,1312,0,0.00,0,0.00,17.89,1312,0
FCPI,1308,0,0.00,0,0.00,37.22,1307,1
VTEI,1303,0,0.00,0,0.00,99.16,1303,0
FBCV,1299,0,0.00,0,0.00,29.97,1299,0
AESR,1292,0,0.00,0,0.00,14.60,1292,0
QTJL,1291,0,0.00,0,0.00,28.70,1200,91
GDE,1290,0,0.00,0,0.00,32.08,1290,0
BFEB,1280,0,0.00,0,0.00,38.12,1280,0
FDVL,1266,0,0.00,0,0.00,11.21,1266,0
OEUR,1264,0,0.00,0,0.00,28.64,1264,0
ARKD,1259,0,0.00,0,0.00,40.54,1259,0
SATO,1230,0,0.00,0,0.00,12.17,1230,0
EDEN,1212,0,0.00,0,0.00,117.16,1212,0
STOT,1210,0,0.00,0,0.00,46.67,1210,0
FCTR,1186,0,0.00,0,0.00,29.73,1186,0
DINT,1185,0,0.00,0,0.00,18.76,1185,0
XJH,1176,0,0.00,0,0.00,38.18,1176,0
